Date,CSUSHPINSA
2022-04-16,301.639
2022-04-17,301.639
2022-04-18,301.639
2022-04-19,301.639
2022-04-20,301.639
2022-04-21,301.639
2022-04-22,301.639
2022-04-23,301.639
2022-04-24,301.639
2022-04-25,301.639
2022-04-26,301.639
2022-04-27,301.639
2022-04-28,301.639
2022-04-29,301.639
2022-04-30,301.639
2022-05-01,306.416
2022-05-02,306.416
2022-05-03,306.416
2022-05-04,306.416
2022-05-05,306.416
2022-05-06,306.416
2022-05-07,306.416
2022-05-08,306.416
2022-05-09,306.416
2022-05-10,306.416
2022-05-11,306.416
2022-05-12,306.416
2022-05-13,306.416
2022-05-14,306.416
2022-05-15,306.416
2022-05-16,306.416
2022-05-17,306.416
2022-05-18,306.416
2022-05-19,306.416
2022-05-20,306.416
2022-05-21,306.416
2022-05-22,306.416
2022-05-23,306.416
2022-05-24,306.416
2022-05-25,306.416
2022-05-26,306.416
2022-05-27,306.416
2022-05-28,306.416
2022-05-29,306.416
2022-05-30,306.416
2022-05-31,306.416
2022-06-01,308.21
2022-06-02,308.21
2022-06-03,308.21
2022-06-04,308.21
2022-06-05,308.21
2022-06-06,308.21
2022-06-07,308.21
2022-06-08,308.21
2022-06-09,308.21
2022-06-10,308.21
2022-06-11,308.21
2022-06-12,308.21
2022-06-13,308.21
2022-06-14,308.21
2022-06-15,308.21
2022-06-16,308.21
2022-06-17,308.21
2022-06-18,308.21
2022-06-19,308.21
2022-06-20,308.21
2022-06-21,308.21
2022-06-22,308.21
2022-06-23,308.21
2022-06-24,308.21
2022-06-25,308.21
2022-06-26,308.21
2022-06-27,308.21
2022-06-28,308.21
2022-06-29,308.21
2022-06-30,308.21
2022-07-01,307.042
2022-07-02,307.042
2022-07-03,307.042
2022-07-04,307.042
2022-07-05,307.042
2022-07-06,307.042
2022-07-07,307.042
2022-07-08,307.042
2022-07-09,307.042
2022-07-10,307.042
2022-07-11,307.042
2022-07-12,307.042
2022-07-13,307.042
2022-07-14,307.042
2022-07-15,307.042
2022-07-16,307.042
2022-07-17,307.042
2022-07-18,307.042
2022-07-19,307.042
2022-07-20,307.042
2022-07-21,307.042
2022-07-22,307.042
2022-07-23,307.042
2022-07-24,307.042
2022-07-25,307.042
2022-07-26,307.042
2022-07-27,307.042
2022-07-28,307.042
2022-07-29,307.042
2022-07-30,307.042
2022-07-31,307.042
2022-08-01,303.595
2022-08-02,303.595
2022-08-03,303.595
2022-08-04,303.595
2022-08-05,303.595
2022-08-06,303.595
2022-08-07,303.595
2022-08-08,303.595
2022-08-09,303.595
2022-08-10,303.595
2022-08-11,303.595
2022-08-12,303.595
2022-08-13,303.595
2022-08-14,303.595
2022-08-15,303.595
2022-08-16,303.595
2022-08-17,303.595
2022-08-18,303.595
2022-08-19,303.595
2022-08-20,303.595
2022-08-21,303.595
2022-08-22,303.595
2022-08-23,303.595
2022-08-24,303.595
2022-08-25,303.595
2022-08-26,303.595
2022-08-27,303.595
2022-08-28,303.595
2022-08-29,303.595
2022-08-30,303.595
2022-08-31,303.595
2022-09-01,300.417
2022-09-02,300.417
2022-09-03,300.417
2022-09-04,300.417
2022-09-05,300.417
2022-09-06,300.417
2022-09-07,300.417
2022-09-08,300.417
2022-09-09,300.417
2022-09-10,300.417
2022-09-11,300.417
2022-09-12,300.417
2022-09-13,300.417
2022-09-14,300.417
2022-09-15,300.417
2022-09-16,300.417
2022-09-17,300.417
2022-09-18,300.417
2022-09-19,300.417
2022-09-20,300.417
2022-09-21,300.417
2022-09-22,300.417
2022-09-23,300.417
2022-09-24,300.417
2022-09-25,300.417
2022-09-26,300.417
2022-09-27,300.417
2022-09-28,300.417
2022-09-29,300.417
2022-09-30,300.417
2022-10-01,298.648
2022-10-02,298.648
2022-10-03,298.648
2022-10-04,298.648
2022-10-05,298.648
2022-10-06,298.648
2022-10-07,298.648
2022-10-08,298.648
2022-10-09,298.648
2022-10-10,298.648
2022-10-11,298.648
2022-10-12,298.648
2022-10-13,298.648
2022-10-14,298.648
2022-10-15,298.648
2022-10-16,298.648
2022-10-17,298.648
2022-10-18,298.648
2022-10-19,298.648
2022-10-20,298.648
2022-10-21,298.648
2022-10-22,298.648
2022-10-23,298.648
2022-10-24,298.648
2022-10-25,298.648
2022-10-26,298.648
2022-10-27,298.648
2022-10-28,298.648
2022-10-29,298.648
2022-10-30,298.648
2022-10-31,298.648
2022-11-01,296.837
2022-11-02,296.837
2022-11-03,296.837
2022-11-04,296.837
2022-11-05,296.837
2022-11-06,296.837
2022-11-07,296.837
2022-11-08,296.837
2022-11-09,296.837
2022-11-10,296.837
2022-11-11,296.837
2022-11-12,296.837
2022-11-13,296.837
2022-11-14,296.837
2022-11-15,296.837
2022-11-16,296.837
2022-11-17,296.837
2022-11-18,296.837
2022-11-19,296.837
2022-11-20,296.837
2022-11-21,296.837
2022-11-22,296.837
2022-11-23,296.837
2022-11-24,296.837
2022-11-25,296.837
2022-11-26,296.837
2022-11-27,296.837
2022-11-28,296.837
2022-11-29,296.837
2022-11-30,296.837
2022-12-01,294.327
2022-12-02,294.327
2022-12-03,294.327
2022-12-04,294.327
2022-12-05,294.327
2022-12-06,294.327
2022-12-07,294.327
2022-12-08,294.327
